名前,タグ名,学校,部活,全件数,全年齢,R-18,R-18率,最終更新日時
先生,先生(ブルーアーカイブ),シャーレ（S.C.H.A.L.E）,,55592,44645,10947,0.1969,2026-03-10 16:58:32
先生,アニメ先生(ブルーアーカイブ),シャーレ（S.C.H.A.L.E）,,1399,1124,275,0.1966,2026-03-10 16:58:45
先生,便利屋先生,シャーレ（S.C.H.A.L.E）,,299,282,17,0.0569,2026-03-10 16:58:57
先生,開発部先生,シャーレ（S.C.H.A.L.E）,,34,34,0,0.0,2026-03-10 16:59:11
アロナ,アロナ(ブルーアーカイブ),シャーレ（S.C.H.A.L.E）,,20059,14149,5910,0.2946,2026-03-10 16:59:25
プラナ,プラナ(ブルーアーカイブ),シャーレ（S.C.H.A.L.E）,,18796,12786,6010,0.3197,2026-03-10 16:59:37
連邦生徒会長,連邦生徒会長(ブルーアーカイブ),連邦生徒会,,3,2,1,0.3333,2026-03-10 16:59:49
七神リン,七神リン,連邦生徒会,,3594,2520,1074,0.2988,2026-03-10 17:00:02
由良木モモカ,由良木モモカ,連邦生徒会,,916,560,356,0.3886,2026-03-10 17:00:15
不知火カヤ,不知火カヤ,連邦生徒会,,2789,2177,612,0.2194,2026-03-10 17:00:28
扇喜アオイ,扇喜アオイ,連邦生徒会,,2202,1487,715,0.3247,2026-03-10 17:00:41
岩櫃アユム,岩櫃アユム,連邦生徒会,,289,217,72,0.2491,2026-03-10 17:00:54
ハイネ,ハイネ(ブルーアーカイブ),連邦生徒会,,90,78,12,0.1333,2026-03-10 17:01:08
